time/iterations,time/time_elapsed,time/total_timesteps,time/fps,train/loss,train/clip_range,train/n_updates,train/entropy_loss,train/policy_gradient_loss,train/learning_rate,train/clip_fraction,train/approx_kl,train/explained_variance,train/value_loss,rollout/ep_len_mean,rollout/ep_rew_mean
69,15,70656,4562,-0.012021537870168686,0.2,272,-1.4271926656365395,-0.0013537221238948405,0.0003,0.004638671875,0.004782319,0.608432412147522,0.003478004247881472,271.78,0.17905557000000002
70,15,71680,4567,-0.019695328548550606,0.2,276,-1.4380199164152145,-0.0035288101353216916,0.0003,0.005126953125,0.0052314363,0.8239436745643616,0.0033257202012464404,271.78,0.17905557000000002
71,15,72704,4573,-0.009318426251411438,0.2,280,-1.2819694504141808,-0.0023107689048629254,0.0003,0.004638671875,0.004704678,0.8881471753120422,0.001213482886669226,268.53,0.18808336
72,16,73728,4581,-0.011701222509145737,0.2,284,-1.2386624217033386,-0.0004531884187599644,0.0003,0.0,0.0010215091,0.6349198818206787,0.00491143595718313,268.53,0.18808336
73,16,74752,4587,-0.01747867278754711,0.2,288,-1.1581060215830803,-0.004922078980598599,0.0003,0.03173828125,0.008746256,0.9261653423309326,0.0004498977441471652,265.05,0.19975002999999997
74,16,75776,4593,-0.02249259687960148,0.2,292,-1.0827244892716408,-0.001112046666094102,0.0003,0.0,0.0010505964,0.6724159717559814,0.0053138267394388095,262.37,0.20919447
75,16,76800,4601,-0.01658199355006218,0.2,296,-1.16742292791605,-0.0003949376696255058,0.0003,0.0029296875,0.0017697404,0.8834651112556458,0.0013083591038594022,262.37,0.20919447
76,16,77824,4610,-0.02179713174700737,0.2,300,-1.1461745575070381,-0.0035004016244783998,0.0003,0.0,0.0034760046,0.7952883243560791,0.0009543401174596511,260.37,0.21575002
77,17,78848,4618,-0.013132975436747074,0.2,304,-1.062360517680645,-0.0013587467256002128,0.0003,0.0,0.0025331753,0.520667314529419,0.00446695918799378,259.37,0.21952780000000005
78,17,79872,4626,-0.007076548878103495,0.2,308,-1.0834302678704262,-0.002250554971396923,0.0003,0.0263671875,0.004211991,0.871284008026123,0.0016250340340775438,262.16,0.21077780000000002
79,17,80896,4634,-0.012934012338519096,0.2,312,-1.1686525121331215,-0.0002947912144009024,0.0003,0.011474609375,0.0014047499,0.9206503629684448,0.000258374087025004,263.47,0.20613890999999998
80,17,81920,4642,-0.014128166250884533,0.2,316,-1.1470097079873085,-0.0009251843730453402,0.0003,0.0,0.0010602796,0.5355275273323059,0.0027593852282734588,256.77,0.22675002
81,17,82944,4649,-0.006658290512859821,0.2,320,-1.1240723133087158,-0.00016121071530506015,0.0003,0.0,0.0008328331,0.2967222332954407,0.009516468388028443,255.0,0.23166669000000004
