rollout/ep_len_mean,rollout/ep_rew_mean,time/time_elapsed,time/fps,time/iterations,time/total_timesteps,train/explained_variance,train/loss,train/entropy_loss,train/approx_kl,train/clip_range,train/clip_fraction,train/n_updates,train/policy_gradient_loss,train/value_loss,train/learning_rate
43.35,0.60085,4,4033,18,18432,0.18884217739105225,-0.0015930533409118652,-1.4682345539331436,0.0034175362,0.2,0.021484375,68,-0.0019448897801339626,0.018368128512520343,0.0003
42.04,0.6126400000000001,4,4118,19,19456,0.2197728157043457,-0.018432047218084335,-1.5471301153302193,0.005742926,0.2,0.011474609375,72,-0.003362362738698721,0.019420870812609792,0.0003
42.18,0.6093799999999999,4,4198,20,20480,0.08412879705429077,-0.011533831246197224,-1.5849506482481956,0.0011172164,0.2,0.0,76,-0.0007749134674668312,0.018164346460253,0.0003
41.04,0.62064,5,4270,21,21504,0.13714861869812012,-0.004067231900990009,-1.5271293371915817,0.002290105,0.2,0.0,80,-0.0009568561799824238,0.014042209833860397,0.0003
39.76,0.6321599999999999,5,4337,22,22528,0.126470685005188,-0.020378243178129196,-1.456287145614624,0.004828794,0.2,0.0,84,-0.004453906032722443,0.013728730846196413,0.0003
39.51,0.6334099999999999,5,4404,23,23552,0.09931200742721558,-0.007184606045484543,-1.3397732228040695,0.0052143475,0.2,0.0078125,88,-0.0017129628686234355,0.016417006554547697,0.0003
38.18,0.64738,6,4047,24,24576,0.09358394145965576,-0.007018671371042728,-1.2756298556923866,0.00052708073,0.2,0.0,92,-0.00042161784949712455,0.017131398955825716,0.0003
37.12,0.6569200000000001,6,4109,25,25600,0.10332697629928589,-0.011167852208018303,-1.260938547551632,0.002849834,0.2,0.0,96,-0.002164247212931514,0.018220350437331945,0.0003
35.67,0.6719700000000001,6,4168,26,26624,0.03911799192428589,-0.013390293344855309,-1.1193216741085052,0.006515035,0.2,0.028076171875,100,-0.004145102400798351,0.017267159651964903,0.0003
33.72,0.6905200000000002,6,4223,27,27648,0.17403513193130493,-0.008772850036621094,-1.0601781904697418,0.0010615501,0.2,0.0,104,-0.0011132533545605838,0.017074662959203124,0.0003
33.25,0.6937499999999999,6,4277,28,28672,0.13791459798812866,-0.009645909070968628,-1.090763621032238,0.0008928293,0.2,0.0,108,0.0001826244406402111,0.013587168068625033,0.0003
32.93,0.69663,6,4328,29,29696,0.10186326503753662,-0.0024597737938165665,-1.122711420059204,0.0013146091,0.2,0.0,112,-0.0006702765167574398,0.017989726969972253,0.0003
31.78,0.70798,7,4377,30,30720,0.26546037197113037,-0.005850273184478283,-1.1321457028388977,0.0004603095,0.2,0.0,116,-0.0007161282992456108,0.014286801859270781,0.0003
29.5,0.7304999999999998,7,4425,31,31744,0.17864245176315308,-0.003964381292462349,-1.1123533695936203,0.00049329584,0.2,0.0,120,-0.00030948739731684327,0.018896569963544607,0.0003
32.64,0.7012400000000001,7,4152,32,32768,0.13608187437057495,-0.010236195288598537,-1.0763668417930603,0.002735401,0.2,0.0,124,-0.0015423323784489185,0.01574537600390613,0.0003
34.84,0.6784399999999999,8,4199,33,33792,0.14294666051864624,-0.0055219633504748344,-0.9992142841219902,0.006199481,0.2,0.02099609375,128,-0.0029329902317840606,0.013445386488456279,0.0003
34.81,0.6787099999999999,8,4243,34,34816,0.20253682136535645,-0.011746574193239212,-0.9107855446636677,0.0015655794,0.2,0.00439453125,132,-0.0016958230116870254,0.008922861277824268,0.0003
34.0,0.687,8,4287,35,35840,0.2349810004234314,-0.007034526206552982,-0.906007494777441,0.0050392756,0.2,0.040771484375,136,-0.0036712029832415283,0.01584583567455411,0.0003
27.53,0.7482299999999998,8,4328,36,36864,0.22066450119018555,0.0027108374051749706,-0.9925834499299526,0.0067893076,0.2,0.03466796875,140,-0.002910418959800154,0.013468548248056322,0.0003
27.57,0.7488700000000001,8,4369,37,37888,0.3166193962097168,-0.002490784041583538,-1.0673761293292046,0.0005082034,0.2,0.0,144,-0.0010638079256750643,0.015781141759362072,0.0003
30.69,0.7177899999999999,8,4408,38,38912,0.13648587465286255,-0.009643159806728363,-1.0108487233519554,0.006590102,0.2,0.00390625,148,-0.003162035485729575,0.011918336269445717,0.0003
33.55,0.6910499999999999,8,4444,39,39936,0.040814757347106934,-0.01558787189424038,-0.9000688754022121,0.0073300796,0.2,0.043701171875,152,-0.0037009827501606196,0.012327299569733441,0.0003
32.7,0.7006999999999999,9,4218,40,40960,0.15611833333969116,-0.0020183976739645004,-0.8976896442472935,0.006797841,0.2,0.052001953125,156,-0.004461464443011209,0.017614731332287192,0.0003
30.58,0.72178,9,4255,41,41984,0.06016409397125244,-0.01799320988357067,-0.9963753633201122,0.005619813,0.2,0.017333984375,160,-0.002655588206835091,0.021796396584250033,0.0003
29.57,0.7298699999999999,10,4291,42,43008,0.15974551439285278,-0.0041608065366744995,-1.0478631742298603,0.0028433977,0.2,0.0009765625,164,-0.002445544203510508,0.017768197634723037,0.0003
27.9,0.7428999999999998,10,4325,43,44032,0.19861388206481934,-0.0016799075528979301,-0.9740457013249397,0.00021357404,0.2,0.0,168,0.0003304944693809375,0.016566215315833688,0.0003
26.59,0.75669,10,4358,44,45056,0.11642289161682129,-0.004992608912289143,-1.0450972840189934,0.005969309,0.2,0.009521484375,172,-0.0019849418895319104,0.015973369649145752,0.0003
29.46,0.72886,10,4391,45,46080,0.23283958435058594,-0.006884633097797632,-1.152526468038559,0.0045809345,0.2,0.028076171875,176,-0.0016319018905051053,0.01463054696796462,0.0003
30.16,0.7215600000000001,10,4423,46,47104,0.1270337700843811,-0.011030398309230804,-1.1733005046844482,0.0030520991,0.2,0.0,180,-0.001964576804311946,0.011874517833348364,0.0003
35.29,0.6723899999999999,10,4453,47,48128,0.2600752115249634,-0.006186486221849918,-1.1262369751930237,0.00032645976,0.2,0.0,184,-5.374931788537651e-05,0.012608327670022845,0.0003
27.68,0.74488,11,4260,48,49152,0.16334611177444458,-0.006576669402420521,-1.1123596727848053,0.0004970758,0.2,0.0,188,-0.0010516986949369311,0.017015144578181207,0.0003
23.71,0.7856099999999999,11,4290,49,50176,0.21326780319213867,-0.011644776910543442,-1.1166429370641708,0.0044858484,0.2,0.008056640625,192,-0.0024653106811456382,0.018686489551328123,0.0003
26.38,0.76158,11,4320,50,51200,0.04217851161956787,-0.008646991103887558,-1.2119446694850922,0.0035497358,0.2,0.00146484375,196,-0.0007203163113445044,0.015040965226944536,0.0003
29.27,0.73257,12,4349,51,52224,0.18117696046829224,0.00011373590677976608,-1.2438083812594414,0.006006606,0.2,0.01220703125,200,-0.0021946026827208698,0.016185455897357315,0.0003
30.79,0.7188899999999999,12,4378,52,53248,0.20256811380386353,-0.015001527965068817,-1.0807132497429848,0.010473928,0.2,0.038330078125,204,-0.005025126622058451,0.014892335690092295,0.0003
31.84,0.7094400000000002,12,4406,53,54272,0.2090824842453003,-0.0011833533644676208,-1.0521363765001297,0.0015653692,0.2,0.00244140625,208,-0.00043606667895801365,0.01607406249968335,0.0003
29.03,0.73773,12,4435,54,55296,0.08737236261367798,-0.0068986546248197556,-1.0879909098148346,0.00036959432,0.2,0.0,212,-0.0008871128666214645,0.015398884250316769,0.0003
26.94,0.75554,12,4462,55,56320,0.1829100251197815,-0.007767916657030582,-1.0505707934498787,0.005313472,0.2,0.016845703125,216,-0.0023125034640543163,0.018579586583655328,0.0003
26.3,0.7622999999999999,13,4300,56,57344,0.2474818229675293,-0.004668894223868847,-1.1552350595593452,0.008010172,0.2,0.03857421875,220,-0.0018386345618637279,0.014683639688882977,0.0003
27.17,0.7554699999999999,13,4327,57,58368,0.011931836605072021,0.004714340902864933,-1.091504693031311,0.0120224655,0.2,0.02880859375,224,-0.002465495257638395,0.01782052346970886,0.0003
25.47,0.7687699999999998,13,4354,58,59392,0.13824933767318726,-0.005087820813059807,-1.0169914588332176,0.00064598816,0.2,0.0,228,-0.001004224584903568,0.01158662379020825,0.0003
26.59,0.7576900000000001,13,4380,59,60416,0.17174267768859863,-0.010471669025719166,-1.0078431218862534,0.0024624395,0.2,0.0,232,-0.001978764106752351,0.016185303567908704,0.0003
28.59,0.7396899999999998,13,4405,60,61440,-0.02251148223876953,-0.0040189605206251144,-0.9846891760826111,0.0009877943,0.2,0.000244140625,236,-0.0009901626035571098,0.015453812899067998,0.0003
30.15,0.7256500000000001,14,4429,61,62464,0.13856559991836548,-0.0029352959245443344,-0.9346814379096031,0.0013180829,0.2,0.0,240,-0.0005689127719961107,0.016098799707833678,0.0003
26.37,0.75867,14,4454,62,63488,0.047749340534210205,0.0009113634005188942,-0.8784769512712955,0.0012118574,0.2,0.0,244,-0.0012162647763034329,0.018821339588612318,0.0003
24.35,0.7778499999999999,14,4478,63,64512,0.16402459144592285,-0.0013995850458741188,-0.8459920398890972,0.00014417496,0.2,0.0,248,-0.00034814170794561505,0.015588654961902648,0.0003
23.22,0.79002,15,4334,64,65536,0.10377103090286255,-0.00423280056566,-0.8791633695363998,0.0051444774,0.2,0.010498046875,252,-0.0014058947854209691,0.015394245041534305,0.0003
23.91,0.7838100000000001,15,4357,65,66560,0.12961530685424805,0.0003727166913449764,-0.9476115666329861,0.003311904,0.2,0.0,256,-0.001189724716823548,0.014449599548242986,0.0003
26.23,0.75993,15,4380,66,67584,0.155703604221344,-0.015420128591358662,-0.955058328807354,0.0010882029,0.2,0.0,260,-0.0016972060548141599,0.015983442368451506,0.0003
23.68,0.78288,15,4402,67,68608,0.08849668502807617,0.003964495379477739,-0.9061270952224731,0.0140270945,0.2,0.094970703125,264,-0.004416134805069305,0.013071930909063667,0.0003
19.45,0.8249500000000001,15,4423,68,69632,0.06270986795425415,-0.0005228538066148758,-0.8780664429068565,0.0022169766,0.2,0.0,268,-0.00035890669096261263,0.019732669577933848,0.0003
