time/total_timesteps,time/time_elapsed,rollout/ep_len_mean,time/fps,time/iterations,rollout/ep_rew_mean,train/explained_variance,train/entropy_loss,train/value_loss,train/policy_gradient_loss,train/learning_rate,train/n_updates,train/loss,train/clip_fraction,train/approx_kl,train/clip_range
52224,12,24.56,4179,51,0.77596,0.2312116026878357,-1.0280345529317856,0.01251861365744844,-0.001034208049532026,0.0003,200,-0.009981296956539154,0.0,0.0005715812,0.2
53248,12,27.6,4207,52,0.7475999999999999,0.22205084562301636,-1.0363085865974426,0.013143996999133378,-0.0007777347345836461,0.0003,204,-0.007575547322630882,0.0,0.00023902697,0.2
54272,12,30.3,4234,53,0.7263,0.11032676696777344,-1.0705769881606102,0.014393107034265995,-0.0008387265261262655,0.0003,208,-0.005684195086359978,0.00146484375,0.0016250119,0.2
55296,12,32.09,4260,54,0.70819,0.009992718696594238,-1.1269140988588333,0.016825578757561743,-0.000392244866816327,0.0003,212,-0.005034636706113815,0.0,0.0024858534,0.2
56320,13,34.37,4284,55,0.68767,0.07236337661743164,-1.1550814881920815,0.01812890003202483,-0.0012122808839194477,0.0003,216,-0.0045145004987716675,0.0,0.00073960534,0.2
57344,13,31.75,4125,56,0.7092499999999999,0.17549091577529907,-1.187571406364441,0.011964264384005219,-0.0011577298282645643,0.0003,220,-0.010319049470126629,0.002197265625,0.0046483497,0.2
58368,14,32.9,4152,57,0.6969000000000001,0.12912052869796753,-1.2359007224440575,0.019314213772304356,-0.00019462607451714575,0.0003,224,-0.002651234157383442,0.0,0.0010145383,0.2
59392,14,31.0,4177,58,0.7159999999999997,0.21249860525131226,-1.234556831419468,0.00988766981754452,-0.001098735025152564,0.0003,228,-0.00693726958706975,0.0,0.0022801368,0.2
60416,14,32.18,4203,59,0.7053799999999998,0.10966253280639648,-1.1829388812184334,0.019662956590764225,-0.004236910259351134,0.0003,232,-0.014282980933785439,0.040771484375,0.012523713,0.2
61440,14,30.53,4227,60,0.7232299999999999,0.12328988313674927,-1.1621173620224,0.013084380712825805,-0.002748006649198942,0.0003,236,-0.008210847154259682,0.0,0.002774159,0.2
62464,14,31.0,4250,61,0.7179999999999999,0.06368046998977661,-1.2057585939764977,0.026568777044303715,-0.00204188353382051,0.0003,240,-0.0012987246736884117,0.009765625,0.0057451394,0.2
63488,14,28.47,4274,62,0.7427700000000002,0.21025437116622925,-1.1548819467425346,0.013452774030156434,-0.0023242659808602184,0.0003,244,0.002772610168904066,0.022216796875,0.009646154,0.2
64512,15,24.88,4296,63,0.77508,0.1857932209968567,-1.1564426571130753,0.01567311747930944,-0.0014949384931242093,0.0003,248,-0.0027920305728912354,0.002197265625,0.0031603817,0.2
65536,15,26.91,4156,64,0.75581,0.20384812355041504,-1.180466003715992,0.02353995805606246,-0.004119656165130436,0.0003,252,-0.01030848640948534,0.03662109375,0.008546872,0.2
66560,15,26.66,4180,65,0.7570599999999997,0.22773295640945435,-1.1551676094532013,0.014951402670703828,-0.0019130346772726625,0.0003,256,-0.005351715255528688,0.0341796875,0.010371826,0.2
67584,16,29.46,4203,66,0.73086,0.2827904224395752,-1.0750471279025078,0.01270623377058655,-0.0049122830969281495,0.0003,260,-0.012074606493115425,0.119384765625,0.01704701,0.2
68608,16,25.03,4224,67,0.7737299999999999,0.143665611743927,-1.0312476754188538,0.01349803589982912,-0.0006079439772292972,0.0003,264,-0.017440248280763626,0.011962890625,0.0037600428,0.2
69632,16,25.01,4246,68,0.7719099999999999,0.18016904592514038,-1.0385931730270386,0.01500248460797593,-0.0016976485785562545,0.0003,268,0.009110716171562672,0.01708984375,0.007330813,0.2
70656,16,26.11,4268,69,0.7610100000000002,0.12362682819366455,-1.0632962435483932,0.013848917675204575,-0.005842268335982226,0.0003,272,-0.02443818375468254,0.073486328125,0.0154650025,0.2
71680,16,26.18,4288,70,0.76138,0.06759124994277954,-1.0147064551711082,0.01626633497653529,-0.00041497396887280047,0.0003,276,-0.004432489164173603,0.0,0.0018216368,0.2
72704,16,23.56,4308,71,0.7869600000000001,0.09364807605743408,-0.9832320213317871,0.014771787915378809,-0.0003947538207285106,0.0003,280,-0.006920074112713337,0.0,0.0010974295,0.2
73728,17,23.68,4178,72,0.7858799999999999,0.1291026473045349,-0.965493805706501,0.017569808405824006,-0.0016003051423467696,0.0003,284,-0.0022044312208890915,0.0,0.0012777084,0.2
74752,17,25.35,4199,73,0.77185,0.002430438995361328,-0.9281276427209377,0.01084063301095739,-0.0012733219627989456,0.0003,288,-0.009975584223866463,0.0029296875,0.001892688,0.2
75776,17,26.59,4219,74,0.75969,0.10212630033493042,-0.8791532218456268,0.013555721379816532,-0.003599882038543001,0.0003,292,-0.01700448989868164,0.086669921875,0.0147266425,0.2
76800,18,24.36,4240,75,0.7787599999999999,0.09385067224502563,-0.8418875075876713,0.015688047802541405,-0.0019315840327180922,0.0003,296,0.005444345064461231,0.035888671875,0.0076738084,0.2
77824,18,22.46,4258,76,0.7968600000000001,0.1723054051399231,-0.8495497591793537,0.011895698145963252,-0.001132244011387229,0.0003,300,-0.008233542554080486,0.00244140625,0.0008780959,0.2
78848,18,21.5,4278,77,0.8054999999999999,0.02665811777114868,-0.8999064303934574,0.020136662991717458,-0.001223388098878786,0.0003,304,0.008429312147200108,0.02734375,0.007811794,0.2
79872,18,22.31,4298,78,0.79821,0.08947867155075073,-0.9340289756655693,0.01230796822346747,-0.0028991292929276824,0.0003,308,0.0008798306807875633,0.06982421875,0.010657537,0.2
80896,18,21.94,4316,79,0.8005399999999999,0.11225193738937378,-0.9623271971940994,0.013985431403853,-0.00031117189791984856,0.0003,312,-0.011665768921375275,0.021728515625,0.0052703,0.2
81920,19,23.76,4203,80,0.7851599999999999,0.21249020099639893,-0.9343424662947655,0.012672727054450661,-0.0009256716293748468,0.0003,316,-0.007720540277659893,0.0,0.0006971208,0.2
82944,19,22.87,4221,81,0.7931699999999999,0.07547765970230103,-0.9467975534498692,0.016441422689240426,-0.0009117268200498074,0.0003,320,-0.006649884860962629,0.0,0.00025049684,0.2
83968,19,24.19,4238,82,0.7802899999999999,0.16306543350219727,-0.973567433655262,0.015395591559354216,-0.0011220795277040452,0.0003,324,-0.0028860503807663918,0.0068359375,0.0015667946,0.2
84992,19,22.79,4255,83,0.7938900000000001,0.08820939064025879,-0.9499734826385975,0.017594352830201387,-0.0026315730065107346,0.0003,328,-0.0005282405763864517,0.043701171875,0.0098678935,0.2
86016,20,20.09,4273,84,0.8191900000000001,0.1179499626159668,-0.9025964587926865,0.013609619636554271,-0.0004135820781812072,0.0003,332,-0.008795791305601597,0.0126953125,0.005124189,0.2
87040,20,20.35,4289,85,0.8158499999999997,0.036172449588775635,-0.8244467526674271,0.013675133173819631,-0.003933580068405718,0.0003,336,-0.008241655305027962,0.08544921875,0.011090705,0.2
88064,20,21.26,4304,86,0.8076599999999999,0.12364184856414795,-0.8792399875819683,0.01186997740296647,-0.0013656330993399024,0.0003,340,-0.014165814965963364,0.019287109375,0.004683934,0.2
89088,20,21.17,4319,87,0.8094699999999999,0.08594703674316406,-0.886064425110817,0.013914555020164698,-0.000901045830687508,0.0003,344,-0.006742494180798531,0.02587890625,0.006839256,0.2
90112,21,21.12,4208,88,0.8099199999999999,0.04722362756729126,-0.9155792146921158,0.01508286187890917,-0.003999030130216852,0.0003,348,-0.006675113923847675,0.02880859375,0.0069702123,0.2
91136,21,20.16,4222,89,0.81756,0.14461833238601685,-0.8879416547715664,0.012692972784861922,-0.0006171092391014099,0.0003,352,-0.0022821989841759205,0.000244140625,0.00089855155,0.2
92160,21,19.85,4237,90,0.8203499999999999,0.25042903423309326,-0.884536549448967,0.012679244973696768,-0.0022900589829077944,0.0003,356,-0.011140882037580013,0.0556640625,0.010030133,0.2
93184,21,22.18,4252,91,0.7993800000000002,0.05405008792877197,-0.8297205194830894,0.012255380279384553,-0.0034899297752417624,0.0003,360,-0.0028926609084010124,0.11767578125,0.01067151,0.2
94208,22,20.1,4267,92,0.8190999999999998,0.1292467713356018,-0.768708486109972,0.01301948557374999,-0.0008655744459247217,0.0003,364,-0.011690896935760975,0.0,0.003419645,0.2
95232,22,19.58,4282,93,0.8237799999999998,0.08752447366714478,-0.6671228632330894,0.015432499640155584,-0.002549045042542275,0.0003,368,-0.0019025770016014576,0.037841796875,0.004787731,0.2
96256,22,21.15,4298,94,0.80965,0.2334079146385193,-0.7527878768742085,0.012061696266755462,-0.00183513542287983,0.0003,372,-0.008395394310355186,0.060546875,0.0057629133,0.2
97280,22,22.01,4312,95,0.8019099999999999,0.13680022954940796,-0.6995106786489487,0.01497438206570223,-0.002061053237412125,0.0003,376,0.001752185169607401,0.01611328125,0.006655046,0.2
98304,23,21.32,4215,96,0.8081200000000002,0.04184466600418091,-0.705675333738327,0.014084941998589784,-0.0014084645663388073,0.0003,380,-0.008204449899494648,0.045166015625,0.009519154,0.2
99328,23,21.44,4231,97,0.8060400000000003,0.1842862367630005,-0.7602591216564178,0.013224966765847057,-0.0018670630815904588,0.0003,384,-0.008000009693205357,0.016845703125,0.005776763,0.2
100352,23,22.44,4245,98,0.7960399999999999,0.1693880558013916,-0.741602398455143,0.009130572550930083,-0.00031719141406938434,0.0003,388,-0.0031085824593901634,0.0,0.00011816615,0.2
101376,23,18.17,4259,99,0.8354699999999998,0.16948509216308594,-0.811110582202673,0.0144018538412638,-0.0021814827050548047,0.0003,392,-0.013051126152276993,0.03515625,0.009138903,0.2
102400,23,23.28,4273,100,0.78948,0.20806920528411865,-0.7772005274891853,0.014894913299940526,-0.005749849835410714,0.0003,396,-0.02103792503476143,0.072265625,0.007135342,0.2
103424,24,21.06,4287,101,0.8104600000000001,-0.09606719017028809,-0.7289461381733418,0.011832010408397764,-0.004878074687439948,0.0003,400,-0.005582560319453478,0.0908203125,0.010471514,0.2
104448,24,17.01,4302,102,0.84691,0.19452404975891113,-0.721475388854742,0.015491973841562867,-0.003281150566181168,0.0003,404,-0.0006310665048658848,0.081298828125,0.0047072666,0.2
105472,24,18.02,4316,103,0.8378199999999998,0.13658154010772705,-0.7059642821550369,0.014727855857927352,-0.0016006451478460804,0.0003,408,-0.003824175801128149,0.0,0.0013336902,0.2
106496,25,19.44,4230,104,0.82404,0.030537188053131104,-0.7313698790967464,0.011785279959440231,0.00028153727180324495,0.0003,412,0.003577562514692545,0.0,0.0015236224,0.2
107520,25,20.79,4244,105,0.8118900000000001,0.10756021738052368,-0.7399686202406883,0.01368971064221114,-0.000459308794233948,0.0003,416,-0.0015728059224784374,0.0,0.00044905726,0.2
108544,25,20.94,4258,106,0.8115399999999999,0.13340187072753906,-0.723031297326088,0.01629879610845819,-0.0005095663364045322,0.0003,420,-0.0005195615813136101,0.0,0.00056936033,0.2
109568,25,20.43,4272,107,0.81613,0.15351790189743042,-0.7126805409789085,0.01827428978867829,-0.0012425701424945146,0.0003,424,0.009881479665637016,0.027099609375,0.008457403,0.2
110592,25,21.8,4286,108,0.8037999999999998,0.14263147115707397,-0.6798380725085735,0.012401696119923145,-0.0034770931233651936,0.0003,428,0.0020541097037494183,0.038330078125,0.005645613,0.2
111616,25,21.44,4300,109,0.8070400000000001,0.0785871148109436,-0.6871672421693802,0.013664496014826,-0.0005700610636267811,0.0003,432,-0.0044938032515347,0.0,0.0018776625,0.2
112640,26,23.13,4314,110,0.7918299999999999,0.05733734369277954,-0.6816253289580345,0.013776621606666595,-0.0005547844484681264,0.0003,436,0.008179208263754845,0.0,0.0025883436,0.2
113664,26,21.97,4327,111,0.8022699999999999,0.053533971309661865,-0.7402780912816525,0.016968686308246106,-0.00015457179688382894,0.0003,440,-0.004058574326336384,0.0,0.005619812,0.2
114688,26,22.48,4249,112,0.79668,0.1617087721824646,-0.7127374410629272,0.015951638109982014,-0.0019737626134883612,0.0003,444,-0.008410688489675522,0.017578125,0.006805036,0.2
115712,27,24.73,4262,113,0.7754300000000001,-0.030819177627563477,-0.7209607362747192,0.01476273313164711,-0.00016305418103002012,0.0003,448,-0.0004925206303596497,0.0,0.00102925,0.2
116736,27,20.54,4275,114,0.81414,0.1322595477104187,-0.6874264068901539,0.014485742780379951,-0.0010740898142103106,0.0003,452,-0.004404271952807903,0.0,0.005168506,0.2
117760,27,19.85,4289,115,0.8213499999999998,0.18435674905776978,-0.6511324867606163,0.014262325770687312,-0.0026918145595118403,0.0003,456,0.0018456922844052315,0.0830078125,0.010475439,0.2
118784,27,21.84,4301,116,0.80344,0.15581202507019043,-0.6823552958667278,0.014408637420274317,0.00041851810237858444,0.0003,460,-0.0034404732286930084,0.0,0.00066040433,0.2
119808,27,19.75,4314,117,0.82225,0.2878454923629761,-0.7214465364813805,0.015447308542206883,0.0003390969068277627,0.0003,464,-0.0028984728269279003,0.0,0.0020372737,0.2
