time/total_timesteps,time/iterations,time/fps,time/time_elapsed,train/clip_fraction,train/clip_range,train/value_loss,train/approx_kl,train/explained_variance,train/entropy_loss,train/policy_gradient_loss,train/n_updates,train/learning_rate,train/loss,rollout/ep_len_mean,rollout/ep_rew_mean
90112,88,4596,19,0.0,0.2,0.00039230046149896225,0.0010142254,0.7472980618476868,-1.6720481887459755,-0.0006635778700001538,348,0.0003,-0.0200165044516325,290.3,0.12161111
91136,89,4602,19,0.00048828125,0.2,0.0033121140659204684,0.0016731359,0.38534897565841675,-1.658864013850689,-0.0020840071520069614,352,0.0003,-0.015215166844427586,287.41,0.13063889
92160,90,4609,19,0.017333984375,0.2,0.004333023643994238,0.008035351,0.2195790410041809,-1.5995166972279549,-0.00545392234926112,356,0.0003,-0.02302827499806881,286.49,0.13319444
93184,91,4615,20,0.0,0.2,0.001462714219087502,0.002273085,0.5130077600479126,-1.4913033246994019,-0.0006623343506362289,360,0.0003,-0.01703750528395176,286.39,0.13447222
94208,92,4621,20,0.0,0.2,0.0007556442615168635,0.00080269185,0.6079220175743103,-1.4631750136613846,-0.0007271122885867953,364,0.0003,-0.018607784062623978,285.8,0.13711111
95232,93,4627,20,0.00048828125,0.2,0.00037173319287830964,0.0023886801,0.7410043478012085,-1.4750959649682045,-0.0014527918683597818,368,0.0003,-0.009743203409016132,281.92,0.14888889
96256,94,4629,20,0.0,0.2,0.005407198317698203,0.0010736797,0.13570952415466309,-1.492382600903511,-0.00039093111990951,372,0.0003,-0.018824635073542595,281.92,0.14888889
97280,95,4635,20,0.026123046875,0.2,0.00036229360557626933,0.0033614049,0.8875744342803955,-1.4769863784313202,-0.0030259729537647218,376,0.0003,-0.022111473605036736,284.45,0.14086110999999998
98304,96,4640,21,0.0,0.2,0.0004027908762509469,0.0022409773,0.7600769996643066,-1.5275324583053589,-0.002289150288561359,380,0.0003,-0.02913760021328926,282.12,0.14833332999999999
99328,97,4645,21,0.017822265625,0.2,0.002487210076651536,0.009269131,0.3987961411476135,-1.4652519673109055,-0.004879618907580152,384,0.0003,-0.027572132647037506,283.97,0.14219444
100352,98,4651,21,0.0,0.2,0.0013736586988670751,0.0056134695,0.4063858985900879,-1.2891472950577736,-0.0007818282465450466,388,0.0003,-0.012655004858970642,285.84,0.136
101376,99,4657,21,0.0,0.2,0.00038272402161965147,0.0019267539,0.7486093044281006,-1.2300195917487144,-0.0009265571425203234,392,0.0003,-0.018513169139623642,285.84,0.136
102400,100,4663,21,0.013671875,0.2,0.0001774131696947734,0.0026051346,0.8008426427841187,-1.2122240290045738,-0.0016702293360140175,396,0.0003,-0.025437356904149055,287.28,0.132
103424,101,4668,22,0.0,0.2,0.0008287648161058314,0.0008902816,0.6187237501144409,-1.3054762110114098,-0.0001750196097418666,400,0.0003,-0.01685446687042713,281.57,0.15086111
104448,102,4674,22,0.008544921875,0.2,0.005952367660938762,0.0035084044,0.1898917555809021,-1.3570567592978477,-0.0018686831172090024,404,0.0003,-0.012140192091464996,277.19,0.16402778999999998
105472,103,4679,22,0.018310546875,0.2,0.00506617764767725,0.0049349475,0.48450756072998047,-1.4478735998272896,-0.0027117818244732916,408,0.0003,-0.01694486476480961,277.46,0.16327779
106496,104,4684,22,0.002197265625,0.2,0.002328672620933503,0.0038858657,0.05662792921066284,-1.5258594378829002,-0.0035728516231756657,412,0.0003,-0.03134334832429886,278.79,0.15758335
107520,105,4688,22,0.04150390625,0.2,0.0009982506671804003,0.0059437533,0.5209713578224182,-1.5741951316595078,-0.0015674577734898776,416,0.0003,-0.02529246173799038,275.09,0.17086111999999998
108544,106,4692,23,0.0,0.2,0.0026168481999775395,0.003209075,0.5432404279708862,-1.5978824123740196,-0.002077925979392603,420,0.0003,-0.020305534824728966,273.38,0.17561111999999998
109568,107,4696,23,0.0,0.2,0.004430793549545342,0.0033437605,0.21943879127502441,-1.5959567502140999,-0.0017312777636107057,424,0.0003,-0.01872177980840206,274.2,0.17233334
110592,108,4702,23,0.016357421875,0.2,0.0015051564332679845,0.0031357626,0.7316347360610962,-1.6093021035194397,-0.0037806828040629625,428,0.0003,-0.017883291468024254,275.88,0.16466667000000001
111616,109,4707,23,0.0,0.2,0.0002928605827037245,0.0015379017,0.9516148567199707,-1.6078412234783173,-0.002398990880465135,432,0.0003,-0.018981952220201492,275.88,0.16466667000000001
112640,110,4709,23,0.0,0.2,0.0004897270337096415,0.00044491602,0.8966189026832581,-1.615555614233017,0.00017791253048926592,436,0.0003,-0.0160461887717247,277.71,0.15858334
113664,111,4714,24,0.0,0.2,0.00038296215279842727,0.0016244843,0.8407866954803467,-1.5948326364159584,-0.0013866466761101037,440,0.0003,-0.021678905934095383,276.6,0.16266666999999999
114688,112,4718,24,0.0,0.2,0.0026396031607873738,0.0008206283,0.4004228711128235,-1.5470410957932472,-0.00019144231191603467,444,0.0003,-0.012714764103293419,275.89,0.16363889
115712,113,4723,24,0.0,0.2,0.0031232515393639915,0.0024645883,0.31548452377319336,-1.5495643764734268,-0.0018172947748098522,448,0.0003,-0.020984483882784843,267.98,0.18861112000000002
116736,114,4726,24,0.0,0.2,0.008868686360074207,0.0020564569,0.3077980875968933,-1.5854364186525345,-0.001673657854553312,452,0.0003,-0.01715146377682686,266.11,0.19480556
117760,115,4729,24,0.0341796875,0.2,0.001034826214890927,0.005295636,0.8871091604232788,-1.5385711342096329,-0.0038854514132253826,456,0.0003,-0.01803182065486908,264.14,0.20227777000000002
118784,116,4734,25,0.011474609375,0.2,0.006165822691400535,0.0018727703,0.5899814367294312,-1.5454521253705025,-0.0012107632210245356,460,0.0003,-0.015570446848869324,260.19,0.21524999000000006
119808,117,4738,25,0.0,0.2,0.0031185029438347556,0.0051726056,0.49921315908432007,-1.5198781415820122,-0.0031059736211318523,464,0.0003,-0.0275092963129282,260.29,0.21397221000000002
120832,118,4742,25,0.0,0.2,0.0013390692402026616,0.0007746785,0.5362201929092407,-1.4389419630169868,-0.0007351762906182557,468,0.0003,-0.014600558206439018,260.52,0.21433332
121856,119,4746,25,0.0126953125,0.2,0.003816021795501001,0.0033707581,0.3659259080886841,-1.4909932315349579,-0.0003319091920275241,472,0.0003,-0.01504657231271267,256.81,0.22663888
122880,120,4746,25,0.003662109375,0.2,0.002895008154155221,0.0016080162,0.3534904718399048,-1.5464020073413849,-0.0010227561797364615,476,0.0003,-0.010159971192479134,259.14,0.21916666000000004
123904,121,4748,26,0.0,0.2,0.00046622228182968684,0.006751891,0.6598303318023682,-1.63272213190794,-0.00385780495707877,480,0.0003,-0.026712968945503235,257.63,0.22436109999999998
124928,122,4750,26,0.0,0.2,0.001107112428144319,0.0032604132,0.6009296774864197,-1.7225169315934181,0.00048329660785384476,484,0.0003,-0.01617087982594967,257.63,0.22436110000000004
125952,123,4751,26,0.029052734375,0.2,0.0002542892189012491,0.0077591166,0.8308973908424377,-1.7697255313396454,-0.005630755331367254,488,0.0003,-0.03150366619229317,259.07,0.21936110000000003
126976,124,4752,26,0.026123046875,0.2,0.00019630716406027204,0.0061843763,0.8837112188339233,-1.820957526564598,-0.002882364933611825,492,0.0003,-0.01840437948703766,259.07,0.21936110000000003
128000,125,4753,26,0.0,0.2,0.00015698448532930342,0.0031289614,0.9165322184562683,-1.8160791397094727,-0.001980094108148478,496,0.0003,-0.017383117228746414,259.45,0.21730554000000002
129024,126,4756,27,0.0,0.2,0.0017191008082590997,0.0013675657,0.5421976447105408,-1.8161405101418495,-0.00032837885373737663,500,0.0003,-0.021112361922860146,259.48,0.21622220999999997
130048,127,4758,27,0.0,0.2,0.0027041743451263756,0.0012857334,0.7485242486000061,-1.8342705890536308,-0.00017287934315390885,504,0.0003,-0.015040658414363861,261.69,0.20908332000000002
131072,128,4398,29,0.0,0.2,0.0007801872307027224,0.00035059475,0.6328113079071045,-1.8193733021616936,-0.00024396157823503017,508,0.0003,-0.018641043454408646,264.21,0.20108332
132096,129,4403,29,0.02197265625,0.2,0.0006060420055291615,0.0032617997,0.601428747177124,-1.8367992118000984,-0.0014835190668236464,512,0.0003,-0.019389718770980835,266.11,0.19580554000000003
133120,130,4408,30,0.0,0.2,0.0019074979209108278,0.0029656747,0.44692981243133545,-1.837914265692234,-0.0031377346313092858,516,0.0003,-0.02259768173098564,265.5,0.19849998
134144,131,4413,30,0.01123046875,0.2,0.001107477604818996,0.0038674755,0.6910085678100586,-1.8300072774291039,-0.00314095921930857,520,0.0003,-0.026208918541669846,266.92,0.19355553
135168,132,4419,30,0.055419921875,0.2,0.0006932944233994931,0.010380169,0.5379951596260071,-1.7811129912734032,-0.006605147355003282,524,0.0003,-0.034233611077070236,269.07,0.18658330999999997
136192,133,4422,30,0.027587890625,0.2,0.00010991122758241545,0.0067140446,0.8941243290901184,-1.7327228784561157,-0.00298838279559277,528,0.0003,-0.017414512112736702,271.95,0.17758331
137216,134,4426,30,0.0,0.2,0.0001036190444665408,0.0007265548,0.8323066234588623,-1.7227767780423164,-0.00025029777316376567,532,0.0003,-0.015969565138220787,273.87,0.17124997999999997
138240,135,4429,31,0.0,0.2,8.496025816384645e-05,0.002120788,0.8373254537582397,-1.721511222422123,-0.0012722293613478541,536,0.0003,-0.02027841843664646,274.9,0.16738887
139264,136,4432,31,0.0,0.2,0.00012029263871227158,0.0015186148,0.8078317642211914,-1.7159607633948326,-0.0008591943187639117,540,0.0003,-0.021137505769729614,274.38,0.16983331
