time/fps,time/total_timesteps,time/iterations,time/time_elapsed,train/loss,train/explained_variance,train/learning_rate,train/clip_fraction,train/clip_range,train/policy_gradient_loss,train/approx_kl,train/entropy_loss,train/value_loss,train/n_updates,rollout/ep_rew_mean,rollout/ep_len_mean
4675,155648,152,33,-0.012042008340358734,0.44502896070480347,0.0003,0.000244140625,0.2,-0.0014877850335324183,0.0039739506,-1.626330316066742,0.004030710391816683,604,0.21916667,259.14
4679,156672,153,33,-0.02329544723033905,0.48377352952957153,0.0003,0.001708984375,0.2,-0.0011757016036426648,0.0023493972,-1.577632911503315,0.003440740481892135,608,0.22719445000000005,256.61
4683,157696,154,33,-0.014183883555233479,0.5205587148666382,0.0003,0.033935546875,0.2,-0.0007785544876242056,0.0066327024,-1.7247669696807861,0.003676516003906727,612,0.22452778,257.21
4687,158720,155,33,-0.029448658227920532,0.6835805773735046,0.0003,0.08544921875,0.2,-0.005744308145949617,0.0064912196,-1.6525360643863678,0.0007669715159863699,616,0.23088888999999999,254.92
4691,159744,156,34,-0.016714397817850113,0.3714976906776428,0.0003,0.0,0.2,-0.00019172079919371754,0.002096723,-1.5828748047351837,0.0029815435846103355,620,0.22283333,257.46
4695,160768,157,34,-0.028258245438337326,0.6302449703216553,0.0003,0.007080078125,0.2,-0.006789538951124996,0.0042124507,-1.4970061779022217,0.00038755390778533183,624,0.20449999,262.98
4699,161792,158,34,-0.0240277461707592,0.5851197838783264,0.0003,0.019287109375,0.2,-0.001276290655368939,0.0062206304,-1.474390059709549,0.00030252708802436246,628,0.20777777,262.16
4703,162816,159,34,-0.02234257012605667,0.7607438564300537,0.0003,0.0068359375,0.2,-0.0013815741112921387,0.0051563918,-1.5611892715096474,0.0010011380982177798,632,0.19702777000000005,265.31
4706,163840,160,34,-0.015010139904916286,0.8925950527191162,0.0003,0.0,0.2,-0.00016509855049662292,0.0014878616,-1.6107373088598251,0.0005171689681446878,636,0.1731111,272.84
4710,164864,161,34,-0.02509257383644581,0.8546637892723083,0.0003,0.0,0.2,-0.002760740739176981,0.0023016832,-1.6604324951767921,0.0004225867705827113,640,0.18072221999999996,271.18
4714,165888,162,35,-0.026013746857643127,0.5949690341949463,0.0003,0.03466796875,0.2,-0.0038308373477775604,0.0065804627,-1.6160414814949036,0.002830872079357505,644,0.18583334,269.7
4718,166912,163,35,-0.01746218279004097,0.79095858335495,0.0003,0.074462890625,0.2,-0.0046099085884634405,0.013558327,-1.4891872853040695,0.0021155738286324777,648,0.18477777999999997,270.08
4722,167936,164,35,-0.02140950597822666,0.743278980255127,0.0003,0.03662109375,0.2,-0.00387620682886336,0.010796556,-1.4508433789014816,0.001270998236577725,652,0.18275,270.81
4726,168960,165,35,-0.016491778194904327,0.7408567667007446,0.0003,0.0,0.2,-0.00044685479952022433,0.00039331533,-1.28324543684721,0.0016971657169051468,656,0.18275000000000002,270.81
4730,169984,166,35,-0.017326995730400085,0.870723307132721,0.0003,0.052978515625,0.2,-0.003470734227448702,0.00804555,-1.251909263432026,0.00029251634896354517,660,0.17863889000000005,271.93
4734,171008,167,36,-0.021832391619682312,0.6989746689796448,0.0003,0.026611328125,0.2,-0.00043096375884488225,0.0046330458,-1.313204973936081,0.002919189508247655,664,0.17752778000000002,271.97
4738,172032,168,36,-0.01400088518857956,0.9206262230873108,0.0003,0.006591796875,0.2,-0.0017267696966882795,0.0024339482,-1.3965096920728683,0.00030118275117274607,668,0.17194445000000003,273.62
4741,173056,169,36,-0.018064390867948532,0.9344687461853027,0.0003,0.0,0.2,-0.0009325087012257427,0.0022156266,-1.4255791381001472,0.000244815300902701,672,0.15941666999999998,277.41
4744,174080,170,36,-0.019461615011096,0.8876915574073792,0.0003,0.033447265625,0.2,-0.0018461020081304014,0.0024722787,-1.5300306007266045,0.000357128200448642,676,0.16794445,274.7
4748,175104,171,36,-0.020842496305704117,0.7167911529541016,0.0003,0.07666015625,0.2,-0.0030895492527633905,0.008353258,-1.4362528696656227,0.0025978622215916403,680,0.15469445,278.39
4751,176128,172,37,-0.021796217188239098,0.8594779968261719,0.0003,0.07275390625,0.2,-0.0028606162522919476,0.0029036375,-1.5642017275094986,0.00019531178622855805,684,0.15469445,278.39
4754,177152,173,37,-0.016596507281064987,0.8500752449035645,0.0003,0.000244140625,0.2,-0.0016574797919020057,0.00091327063,-1.506883516907692,0.00019351139326317934,688,0.16258334000000002,275.91
4758,178176,174,37,-0.005214225500822067,0.4447631239891052,0.0003,0.045654296875,0.2,-0.0012290055165067315,0.010917297,-1.4280874952673912,0.003286373299488332,692,0.1601389,276.79
4761,179200,175,37,-0.013989705592393875,0.5667586326599121,0.0003,0.031982421875,0.2,-0.0013026667875237763,0.009408451,-1.6164328530430794,0.005463219480589032,696,0.16625001,274.59
4764,180224,176,37,-0.0172033179551363,0.8366777896881104,0.0003,0.0126953125,0.2,-0.0007750904769636691,0.00454066,-1.635217472910881,0.0015269202121999115,700,0.15611113000000001,277.52
4767,181248,177,38,-0.018064673990011215,0.7676718831062317,0.0003,0.0126953125,0.2,-0.0021760014060419053,0.0052616936,-1.5280801653862,0.00037441444146679714,704,0.15400002,278.28
4771,182272,178,38,-0.01587689109146595,0.3459853529930115,0.0003,0.06005859375,0.2,-0.0009533532429486513,0.010498224,-1.582666501402855,0.0018642594513949007,708,0.16341669,275.25
4774,183296,179,38,-0.0191863551735878,0.7878431081771851,0.0003,0.03173828125,0.2,-0.0026105969300260767,0.007985345,-1.456058919429779,0.00193905210653611,712,0.14819447,279.65
4777,184320,180,38,-0.00561137218028307,0.7802358865737915,0.0003,0.017333984375,0.2,-0.0010181486431974918,0.0063433354,-1.4662620201706886,0.0017923885461641476,716,0.16341669,274.89
4780,185344,181,38,-0.017447806894779205,0.5676740407943726,0.0003,0.1015625,0.2,-0.005875526927411556,0.011471145,-1.499965600669384,0.0074500902846921235,720,0.17241668999999998,272.01
4783,186368,182,38,-0.014681205153465271,0.8795583248138428,0.0003,0.001953125,0.2,0.00018186302622780204,0.0035436128,-1.5025204345583916,0.0022329112252919003,724,0.16269445999999999,275.15
4786,187392,183,39,-0.021535955369472504,0.9074835777282715,0.0003,0.14111328125,0.2,-0.004634261655155569,0.010363028,-1.419757328927517,0.0014900717651471496,728,0.19411114000000004,265.64
4789,188416,184,39,-0.026597950607538223,0.8191086053848267,0.0003,0.028076171875,0.2,-0.0026435699546709657,0.008323748,-1.4312565922737122,0.0035107327275909483,732,0.18641669,268.05
4792,189440,185,39,-0.019658882170915604,0.854284405708313,0.0003,0.011962890625,0.2,-0.0006580874614883214,0.0064915046,-1.6135446652770042,0.0007494649798900355,736,0.21833335999999995,258.36
4795,190464,186,39,-0.02859763614833355,0.8235446214675903,0.0003,0.102783203125,0.2,-0.0034409414511173964,0.013111513,-1.6664539352059364,0.003635415210737847,740,0.22097223999999993,257.05
4797,191488,187,39,-0.021169792860746384,0.8839371204376221,0.0003,0.001220703125,0.2,-0.001484013962908648,0.0032564318,-1.4998389855027199,0.00150166371895466,744,0.21180556000000003,259.99
4800,192512,188,40,-0.023133043199777603,0.9163858294487,0.0003,0.0576171875,0.2,-0.004679684876464307,0.0059735426,-1.456591434776783,0.000907527282834053,748,0.21972222,257.14
4803,193536,189,40,-0.013035440817475319,0.7720867395401001,0.0003,0.0107421875,0.2,-0.0014734343785676174,0.0066117533,-1.4221113994717598,0.0034973562869708985,752,0.22005556,257.38
4806,194560,190,40,-0.018888557329773903,0.8713685274124146,0.0003,0.0537109375,0.2,-0.0014738627505721524,0.011868428,-1.4992039054632187,0.0008978993464552332,756,0.23525,252.63
4808,195584,191,40,-0.016812067478895187,0.4419934153556824,0.0003,0.000244140625,0.2,-0.0014212714013410732,0.0020871344,-1.5673551633954048,0.004640890532755293,760,0.23763889000000002,252.13
4811,196608,192,40,-0.021043214946985245,0.8116208910942078,0.0003,0.103759765625,0.2,-0.0017957895470317453,0.011178689,-1.5474683791399002,0.002890550415031612,764,0.23763889000000002,252.13
4814,197632,193,41,-0.020254941657185555,0.9064555168151855,0.0003,0.0,0.2,-0.00030586100183427334,0.0009879682,-1.5515602976083755,0.0006726684969180496,768,0.24644445,249.32
4817,198656,194,41,-0.009810097515583038,-0.03764748573303223,0.0003,0.00146484375,0.2,-0.001153623394202441,0.0040189032,-1.4469895660877228,0.0054219181765802205,772,0.24527777999999997,250.1
4819,199680,195,41,-0.02783673256635666,0.5777672529220581,0.0003,0.01220703125,0.2,-0.0028998160269111395,0.004079863,-1.4061444997787476,0.0028423392213881016,776,0.25022222,248.68
4822,200704,196,41,-0.031842175871133804,0.9286857843399048,0.0003,0.06689453125,0.2,-0.003452837365330197,0.006373887,-1.6014718562364578,0.0007594535582029494,780,0.25813889,246.19
4824,201728,197,41,-0.016879932954907417,0.6485241651535034,0.0003,0.021240234375,0.2,-0.0017967410603887402,0.0070370217,-1.566816821694374,0.0025786472324398346,784,0.25144444,248.6
4827,202752,198,42,-0.019393660128116608,0.876434862613678,0.0003,0.04345703125,0.2,-0.002000366774154827,0.0040491703,-1.8320400938391685,0.0002364632146054646,788,0.24549999999999997,250.38
4829,203776,199,42,-0.02948942594230175,0.8882782459259033,0.0003,0.063720703125,0.2,-0.00232338416390121,0.005140631,-1.7996579930186272,0.00017232022946700454,792,0.23883333,252.42
4831,204800,200,42,-0.015640273690223694,0.35384732484817505,0.0003,0.000244140625,0.2,-0.0006889041978865862,0.0013265888,-1.6683065444231033,0.007103127689333633,796,0.25483332999999997,247.38
4833,205824,201,42,-0.010659446939826012,0.6799311637878418,0.0003,0.00390625,0.2,-0.0007552061579190195,0.0024637873,-1.5660331770777702,0.004207391342788469,800,0.25483332999999997,247.38
4835,206848,202,42,-0.024576496332883835,0.8947999477386475,0.0003,0.046875,0.2,-0.004338145663496107,0.005024031,-1.7378131821751595,0.0007135390642361017,804,0.24416665999999998,250.86
4838,207872,203,42,-0.029538748785853386,0.9001068472862244,0.0003,0.04345703125,0.2,-0.00402115733595565,0.005677967,-1.7074986696243286,0.0006859972163510974,808,0.24933332999999996,249.36
4840,208896,204,43,-0.020006874576210976,0.7568240165710449,0.0003,0.005126953125,0.2,0.0001217318931594491,0.0019336145,-1.6962198242545128,0.0018002806282311212,812,0.24658333000000002,250.35
4842,209920,205,43,-0.035237692296504974,0.8864578008651733,0.0003,0.095947265625,0.2,-0.007253056537592784,0.0021304642,-1.7376483082771301,0.0009134440879279282,816,0.23222221999999998,255.16
4845,210944,206,43,-0.018377244472503662,0.7280200123786926,0.0003,0.03369140625,0.2,-0.00029098131926730275,0.0006692562,-1.7418891042470932,0.0029453155293595046,820,0.22947222,255.79
4847,211968,207,43,-0.01504152175039053,0.6506317853927612,0.0003,0.117919921875,0.2,-0.0041697654232848436,0.012050043,-1.5939805656671524,0.0035121781038469635,824,0.24244443000000002,251.84
4850,212992,208,43,-0.014495175331830978,0.5616880655288696,0.0003,0.00439453125,0.2,-0.0010230439074803144,0.0032386337,-1.3557968065142632,0.007104001706466079,828,0.24838887999999998,250.06
4853,214016,209,44,-0.004779110662639141,0.5818012952804565,0.0003,0.086669921875,0.2,-0.002709560969378799,0.0068289316,-1.078154869377613,0.004547531658317894,832,0.25427777,248.3
4855,215040,210,44,-0.0044229887425899506,0.7953083515167236,0.0003,0.058349609375,0.2,-0.002069063135422766,0.004547422,-1.0942473858594894,0.003682489084894769,836,0.24772221000000003,250.3
4858,216064,211,44,-0.015390756540000439,0.918123722076416,0.0003,0.001708984375,0.2,-0.0009287209250032902,0.0019275001,-1.1997615993022919,0.0007218291339086136,840,0.24916665999999998,249.78
4860,217088,212,44,-0.01257781870663166,0.8165671825408936,0.0003,0.014404296875,0.2,-0.0017060151294572279,0.003707166,-1.5458514541387558,0.0024703419403522275,844,0.24844444000000002,250.04
4863,218112,213,44,-0.02107424847781658,0.9080395698547363,0.0003,0.00634765625,0.2,-0.0016094220627564937,0.002460767,-1.5738498196005821,0.000979555756202899,848,0.24586111000000002,250.97
4865,219136,214,45,-0.01761704869568348,0.9321826100349426,0.0003,0.0,0.2,-0.001446210007998161,0.0006576258,-1.552698664367199,0.0006498135608126177,852,0.23433333,254.4
4868,220160,215,45,-0.01853104867041111,0.8221542835235596,0.0003,0.07421875,0.2,-0.0029534179193433374,0.008631647,-1.3204742223024368,0.0019406133651500568,856,0.24086111000000002,252.41
4870,221184,216,45,-0.011373584158718586,0.8016836047172546,0.0003,0.03076171875,0.2,-0.0028679769311565906,0.00763126,-1.2222902029752731,0.0021986291321809404,860,0.24386111,251.33
4872,222208,217,45,-0.005912919994443655,0.8217915296554565,0.0003,0.0068359375,0.2,-0.0006923269247636199,0.0034768253,-1.2366722151637077,0.00273324667068664,864,0.24386111,251.33
4874,223232,218,45,-0.026895083487033844,0.9382009506225586,0.0003,0.032958984375,0.2,-0.00415931741008535,0.00470613,-1.6286548227071762,0.0006011540863255505,868,0.23780555,253.51
4877,224256,219,45,-0.009511242620646954,0.8559280633926392,0.0003,0.033935546875,0.2,-0.0028101228235755116,0.0053941477,-1.3402099758386612,0.0010011471058533061,872,0.23258333,255.03
4879,225280,220,46,-0.028144249692559242,0.9401980042457581,0.0003,0.025146484375,0.2,-0.002283974376041442,0.006555753,-1.1342143937945366,0.00035095299699605675,876,0.24077778000000002,252.44
4878,226304,221,46,-0.006824607960879803,0.5669726133346558,0.0003,0.007568359375,0.2,-0.0014360278437379748,0.0025315792,-1.1674367040395737,0.00299420879673562,880,0.24077778000000002,252.44
4880,227328,222,46,-0.01373748667538166,0.9342645406723022,0.0003,0.00830078125,0.2,-0.0013536654005292803,0.003813216,-1.1091604977846146,0.00032744860982347745,884,0.23813888999999996,253.03
4882,228352,223,46,-0.01542365550994873,0.8277603387832642,0.0003,0.039794921875,0.2,-0.0012597781023941934,0.0072391373,-1.1120980009436607,0.0013679717249033274,888,0.25230555000000005,248.65
4885,229376,224,46,-0.018340082839131355,0.6554824113845825,0.0003,0.00048828125,0.2,-0.0016673503123456612,0.0007034755,-1.2412209659814835,0.007491851836675778,892,0.25847222,246.79
